Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module,n_genes_in_module
KEGG_2021_Human,p53 signaling pathway,5/73,1.444095577756888e-07,7.653706562111507e-06,0,0,50.45131845841785,794.639163272718,TP53AIP1;TP53I3;ZMAT3;PPM1D;TP53,2,34
KEGG_2021_Human,Cellular senescence,3/156,0.0023327324928401,0.061817411060265,0,0,12.531941808981657,75.95252713466711,HIPK4;HIPK1;TP53,2,34
KEGG_2021_Human,Apoptosis,2/142,0.0242089727860356,0.377846002900703,0,0,8.850892857142858,32.93445500352438,TP53AIP1;TP53,2,34
KEGG_2021_Human,Thyroid cancer,1/37,0.0610659373084562,0.377846002900703,0,0,16.776094276094277,46.90262214500739,TP53,2,34
KEGG_2021_Human,Bladder cancer,1/41,0.0674466644929666,0.377846002900703,0,0,15.095454545454546,40.703657605291774,TP53,2,34
KEGG_2021_Human,Ferroptosis,1/41,0.0674466644929666,0.377846002900703,0,0,15.095454545454546,40.703657605291774,TP53,2,34
KEGG_2021_Human,Endometrial cancer,1/58,0.0940983864773611,0.377846002900703,0,0,10.584263689526848,25.015000999516023,TP53,2,34
KEGG_2021_Human,Basal cell carcinoma,1/63,0.1017954137512644,0.377846002900703,0,0,9.728250244379277,22.22701108844716,TP53,2,34
KEGG_2021_Human,Mitophagy,1/68,0.1094289509220514,0.377846002900703,0,0,9.0,19.91231811312109,TP53,2,34
KEGG_2021_Human,Central carbon metabolism in cancer,1/70,0.1124647024724832,0.377846002900703,0,0,8.738252086078173,19.094093242672443,TP53,2,34
KEGG_2021_Human,Melanoma,1/72,0.1154904092558252,0.377846002900703,0,0,8.491250533504054,18.328939891769167,TP53,2,34
KEGG_2021_Human,Non-small cell lung cancer,1/72,0.1154904092558252,0.377846002900703,0,0,8.491250533504054,18.328939891769167,TP53,2,34
KEGG_2021_Human,Glioma,1/75,0.1200102059268166,0.377846002900703,0,0,8.145782145782146,17.270512093187097,TP53,2,34
