Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Homologous recombination	17/41	9.783000e-31	1.956600e-29	0	0	2.103010e+02	1.453169e+04	BARD1;TOP3B;ABRAXAS1;XRCC2;XRCC3;BRCA2;PALB2;RAD54B;RAD51B;BRIP1;RAD51D;RAD51;RAD51C;EME1;UIMC1;RAD54L;NBN
KEGG_2021_Human	Fanconi anemia pathway	18/54	2.021776e-30	2.021776e-29	0	0	1.506061e+02	1.029747e+04	TOP3B;FANCM;FANCL;FANCA;FANCC;FANCB;BRCA2;FANCE;PALB2;FANCG;FANCF;BRIP1;RAD51C;SLX4;RAD51;EME1;FANCD2;PMS2
KEGG_2021_Human	Mismatch repair	3/23	1.191136e-04	7.940907e-04	0	0	3.684444e+01	3.329055e+02	MSH6;MSH2;PMS2
KEGG_2021_Human	Cellular senescence	4/156	4.237065e-03	2.118532e-02	0	0	6.501316e+00	3.552244e+01	CHEK2;RAD1;NBN;RAD9A
KEGG_2021_Human	Hedgehog signaling pathway	2/56	2.318288e-02	9.273151e-02	0	0	8.971093e+00	3.377026e+01	HHATL;HHAT
KEGG_2021_Human	Pancreatic cancer	2/76	4.066201e-02	1.355400e-01	0	0	6.539881e+00	2.094371e+01	RAD51;BRCA2
KEGG_2021_Human	Colorectal cancer	2/86	5.077354e-02	1.450673e-01	0	0	5.758420e+00	1.716228e+01	MSH6;MSH2
KEGG_2021_Human	Lysosome	2/128	1.010333e-01	2.525832e-01	0	0	3.830817e+00	8.781402e+00	GNPTAB;NAGPA
KEGG_2021_Human	Base excision repair	1/33	1.297745e-01	2.883878e-01	0	0	7.486446e+00	1.528700e+01	MUTYH
KEGG_2021_Human	Pathways in cancer	4/531	1.841956e-01	3.683912e-01	0	0	1.839564e+00	3.112095e+00	MSH6;RAD51;MSH2;BRCA2
KEGG_2021_Human	p53 signaling pathway	1/73	2.649381e-01	4.817056e-01	0	0	3.320616e+00	4.410638e+00	CHEK2
KEGG_2021_Human	Pancreatic secretion	1/102	3.497454e-01	5.229214e-01	0	0	2.363712e+00	2.483198e+00	PRSS1
