gene_symbol	score	rank	method	disease
RAD18	0.000757123830401597	143	rwr	BC
CHEK1	0.000756664913194753	144	rwr	BC
SPACA1	0.000752208779200489	145	rwr	BC
C1ORF94	0.00074539234856788	146	rwr	BC
EFNB3	0.000737237049092302	147	rwr	BC
PIK3R2	0.000737217228000986	148	rwr	BC
KLHL10	0.000732888632512431	149	rwr	BC
PRNP	0.000725886854225843	150	rwr	BC
NCL	0.000725320112153635	151	rwr	BC
YWHAH	0.000724753689151379	152	rwr	BC
PTPN6	0.000724621542986537	153	rwr	BC
STUB1	0.000715431873457074	154	rwr	BC
CIAO1	0.000714326466604761	155	rwr	BC
PTPN9	0.000712497967943844	156	rwr	BC
TUBG1	0.000711500181773421	157	rwr	BC
IHO1	0.00070842038922903	158	rwr	BC
TRIM25	0.000703553191398048	159	rwr	BC
HIF1A	0.00070328556510019	160	rwr	BC
COX5B	0.000702345707302874	161	rwr	BC
EZH2	0.000701442295870976	162	rwr	BC
HRAS	0.00068430870262538	163	rwr	BC
IKBKG	0.000674641388285182	164	rwr	BC
YWHAQ	0.000673426752400478	165	rwr	BC
YWHAB	0.000668926558337009	166	rwr	BC
ACTB	0.000665684937020369	167	rwr	BC
CSNK1A1	0.000662774220660547	168	rwr	BC
NEDD4L	0.00065664907144363	169	rwr	BC
IKBKB	0.000656228861556256	170	rwr	BC
HGS	0.000655805123585297	171	rwr	BC
PIK3R3	0.000654520565158991	172	rwr	BC
HUWE1	0.000654226417374211	173	rwr	BC
IKZF1	0.000652142157849727	174	rwr	BC
RAF1	0.000650370591022995	175	rwr	BC
VAPB	0.000648730545092642	176	rwr	BC
PTK2	0.000644358518889215	177	rwr	BC
MAD2L2	0.000644006333452906	178	rwr	BC
RECQL5	0.000640176578069172	179	rwr	BC
FKBP5	0.000639831312872715	180	rwr	BC
UBE2D1	0.000637879317410798	181	rwr	BC
IRS4	0.000636789354816742	182	rwr	BC
PPP1CA	0.000629875208476357	183	rwr	BC
ERCC5	0.000629694102885273	184	rwr	BC
RHOA	0.000627290976041088	185	rwr	BC
BAP1	0.000627203993136585	186	rwr	BC
KAT2B	0.000626939287484439	187	rwr	BC
HSD17B14	0.000610024469965133	188	rwr	BC
RAC1	0.0006066705394931	189	rwr	BC
CDK1	0.000600505074271177	190	rwr	BC
RB1	0.000599687822596461	191	rwr	BC
DMC1	0.000599130999259625	192	rwr	BC
RNASEH2A	0.000595744838378443	193	rwr	BC
EFHC2	0.000588040152876028	194	rwr	BC
TRIM29	0.000583020774174442	195	rwr	BC
PDGFRA	0.000581045477979785	196	rwr	BC
CHD4	0.000579123997272792	197	rwr	BC
E2F1	0.000575866239618649	198	rwr	BC
EZR	0.000575349511612735	199	rwr	BC
JUP	0.00057238424653503	200	rwr	BC
AGR2	0.000569782827571343	201	rwr	BC
CDK9	0.000569156016552015	202	rwr	BC
BIRC2	0.000568060046029947	203	rwr	BC
ATF2	0.000567817265809121	204	rwr	BC
STAT3	0.00056498568513506	205	rwr	BC
EP400	0.000564335860366745	206	rwr	BC
KIFC3	0.000562419016086978	207	rwr	BC
RPS6KA1	0.000558970187853148	208	rwr	BC
RIPK1	0.000557880188073194	209	rwr	BC
AIFM1	0.000554858309833421	210	rwr	BC
FAAP24	0.00055342911171833	211	rwr	BC
KDM1A	0.0005527971353848	212	rwr	BC
CEP57L1	0.000545212378049834	213	rwr	BC
RUVBL2	0.000544078734921149	214	rwr	BC
PPARG	0.000542130226073809	215	rwr	BC
SPTAN1	0.000539364151272691	216	rwr	BC
CANX	0.000537307464458617	217	rwr	BC
TOP2A	0.000536796002946112	218	rwr	BC
