Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Glycolysis / Gluconeogenesis	1/67	1.687368e-01	3.253507e-01	0	0	5.577722e+00	9.925081e+00	HK3
KEGG_2021_Human	Mitophagy	1/68	1.710305e-01	3.253507e-01	0	0	5.494196e+00	9.702274e+00	TP53
KEGG_2021_Human	Pathways in cancer	3/531	1.792188e-01	3.253507e-01	0	0	2.121613e+00	3.647366e+00	MSH6;MLH1;TP53
KEGG_2021_Human	Melanoma	1/72	1.801431e-01	3.253507e-01	0	0	5.183620e+00	8.884743e+00	TP53
KEGG_2021_Human	Non-small cell lung cancer	1/72	1.801431e-01	3.253507e-01	0	0	5.183620e+00	8.884743e+00	TP53
KEGG_2021_Human	Glioma	1/75	1.869130e-01	3.253507e-01	0	0	4.972723e+00	8.339813e+00	TP53
KEGG_2021_Human	Chronic myeloid leukemia	1/76	1.891574e-01	3.253507e-01	0	0	4.906173e+00	8.169640e+00	TP53
KEGG_2021_Human	Pancreatic cancer	1/76	1.891574e-01	3.253507e-01	0	0	4.906173e+00	8.169640e+00	TP53
KEGG_2021_Human	ErbB signaling pathway	1/85	2.090852e-01	3.525751e-01	0	0	4.378527e+00	6.852454e+00	EIF4EBP1
KEGG_2021_Human	Small cell lung cancer	1/92	2.242515e-01	3.673573e-01	0	0	4.040293e+00	6.040187e+00	TP53
KEGG_2021_Human	Salivary secretion	1/93	2.263946e-01	3.673573e-01	0	0	3.996176e+00	5.936221e+00	LYZ
KEGG_2021_Human	Prostate cancer	1/97	2.349093e-01	3.700804e-01	0	0	3.828897e+00	5.546370e+00	TP53
KEGG_2021_Human	Choline metabolism in cancer	1/98	2.370236e-01	3.700804e-01	0	0	3.789233e+00	5.454963e+00	EIF4EBP1
KEGG_2021_Human	Pancreatic secretion	1/102	2.454233e-01	3.700804e-01	0	0	3.638431e+00	5.111160e+00	CELA2B
KEGG_2021_Human	Protein digestion and absorption	1/103	2.475091e-01	3.700804e-01	0	0	3.602578e+00	5.030309e+00	CELA2B
KEGG_2021_Human	NF-kappa B signaling pathway	1/104	2.495891e-01	3.700804e-01	0	0	3.567422e+00	4.951365e+00	ATM
KEGG_2021_Human	Sphingolipid signaling pathway	1/119	2.801209e-01	4.005323e-01	0	0	3.111582e+00	3.959594e+00	TP53
KEGG_2021_Human	AMPK signaling pathway	1/120	2.821124e-01	4.005323e-01	0	0	3.085279e+00	3.904265e+00	EIF4EBP1
KEGG_2021_Human	Thyroid hormone signaling pathway	1/121	2.840985e-01	4.005323e-01	0	0	3.059414e+00	3.850071e+00	TP53
KEGG_2021_Human	Lysosome	1/128	2.978510e-01	4.131482e-01	0	0	2.889764e+00	3.499972e+00	NPC2
KEGG_2021_Human	Measles	1/139	3.189396e-01	4.244770e-01	0	0	2.657944e+00	3.037375e+00	TP53
KEGG_2021_Human	Fluid shear stress and atherosclerosis	1/139	3.189396e-01	4.244770e-01	0	0	2.657944e+00	3.037375e+00	TP53
KEGG_2021_Human	Ubiquitin mediated proteolysis	1/140	3.208257e-01	4.244770e-01	0	0	2.638689e+00	2.999813e+00	BRCA1
KEGG_2021_Human	mTOR signaling pathway	1/154	3.466977e-01	4.501087e-01	0	0	2.395546e+00	2.537607e+00	EIF4EBP1
KEGG_2021_Human	Hepatitis C	1/157	3.521145e-01	4.501087e-01	0	0	2.349122e+00	2.452011e+00	TP53
KEGG_2021_Human	Hepatitis B	1/162	3.610446e-01	4.501087e-01	0	0	2.275592e+00	2.318268e+00	TP53
KEGG_2021_Human	Hippo signaling pathway	1/163	3.628161e-01	4.501087e-01	0	0	2.261431e+00	2.292773e+00	FRMD6
KEGG_2021_Human	Wnt signaling pathway	1/166	3.681016e-01	4.501087e-01	0	0	2.219978e+00	2.218637e+00	TP53
KEGG_2021_Human	Hepatocellular carcinoma	1/168	3.716014e-01	4.501087e-01	0	0	2.193169e+00	2.171092e+00	TP53
KEGG_2021_Human	NOD-like receptor signaling pathway	1/181	3.938903e-01	4.704801e-01	0	0	2.033436e+00	1.894517e+00	TP53BP1
KEGG_2021_Human	RNA transport	1/186	4.022547e-01	4.738891e-01	0	0	1.977978e+00	1.801285e+00	EIF4EBP1
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	1/193	4.137748e-01	4.808734e-01	0	0	1.905189e+00	1.681203e+00	TP53
