Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Homologous recombination	7/41	8.299493e-12	1.991878e-10	0	0	9.535705e+01	2.433018e+03	RAD52;RAD51;RAD51C;XRCC2;XRCC3;BRCA2;PALB2
KEGG_2021_Human	Fanconi anemia pathway	4/54	9.966774e-06	1.196013e-04	0	0	3.460870e+01	3.985625e+02	RAD51C;RAD51;BRCA2;PALB2
KEGG_2021_Human	Caffeine metabolism	1/6	1.490828e-02	9.310298e-02	0	0	8.140816e+01	3.423896e+02	NAT2
KEGG_2021_Human	Pancreatic cancer	2/76	1.551716e-02	9.310298e-02	0	0	1.119144e+01	4.662140e+01	RAD51;BRCA2
KEGG_2021_Human	Base excision repair	1/33	7.934437e-02	3.431404e-01	0	0	1.270281e+01	3.218838e+01	NTHL1
KEGG_2021_Human	DNA replication	1/36	8.624372e-02	3.431404e-01	0	0	1.161224e+01	2.845671e+01	RNASEH2A
KEGG_2021_Human	Nucleotide excision repair	1/47	1.111106e-01	3.431404e-01	0	0	8.830524e+00	1.940269e+01	ERCC5
KEGG_2021_Human	Thermogenesis	2/232	1.143801e-01	3.431404e-01	0	0	3.572464e+00	7.745915e+00	NDUFAF8;NDUFAF5
KEGG_2021_Human	ECM-receptor interaction	1/88	1.980877e-01	5.282339e-01	0	0	4.659395e+00	7.543772e+00	TNXB
KEGG_2021_Human	Drug metabolism	1/108	2.374324e-01	5.291933e-01	0	0	3.784665e+00	5.441865e+00	NAT2
KEGG_2021_Human	Vascular smooth muscle contraction	1/133	2.839609e-01	5.291933e-01	0	0	3.064007e+00	3.857336e+00	MYH14
KEGG_2021_Human	Breast cancer	1/147	3.087894e-01	5.291933e-01	0	0	2.768242e+00	3.252949e+00	BRCA2
KEGG_2021_Human	Hippo signaling pathway	1/163	3.361327e-01	5.291933e-01	0	0	2.492819e+00	2.717795e+00	WTIP
KEGG_2021_Human	Tight junction	1/169	3.461107e-01	5.291933e-01	0	0	2.403061e+00	2.549640e+00	MYH14
KEGG_2021_Human	Axon guidance	1/182	3.672282e-01	5.291933e-01	0	0	2.229000e+00	2.232949e+00	EFNB3
KEGG_2021_Human	Pathways in cancer	2/531	3.845658e-01	5.291933e-01	0	0	1.529694e+00	1.461838e+00	RAD51;BRCA2
KEGG_2021_Human	Pathogenic Escherichia coli infection	1/197	3.907649e-01	5.291933e-01	0	0	2.056851e+00	1.932719e+00	MYH14
KEGG_2021_Human	Focal adhesion	1/201	3.968950e-01	5.291933e-01	0	0	2.015306e+00	1.862311e+00	TNXB
KEGG_2021_Human	Regulation of actin cytoskeleton	1/218	4.222806e-01	5.334071e-01	0	0	1.855826e+00	1.599880e+00	MYH14
KEGG_2021_Human	Chemical carcinogenesis	1/239	4.521970e-01	5.370859e-01	0	0	1.690276e+00	1.341466e+00	NAT2
KEGG_2021_Human	Endocytosis	1/252	4.699502e-01	5.370859e-01	0	0	1.601675e+00	1.209470e+00	SNX32
KEGG_2021_Human	MicroRNAs in cancer	1/310	5.425252e-01	5.909455e-01	0	0	1.297206e+00	7.932686e-01	TNXB
KEGG_2021_Human	Human papillomavirus infection	1/331	5.663228e-01	5.909455e-01	0	0	1.213358e+00	6.899045e-01	TNXB
KEGG_2021_Human	PI3K-Akt signaling pathway	1/354	5.909957e-01	5.909957e-01	0	0	1.132971e+00	5.958823e-01	TNXB
Reactome_2022	Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568	8/33	1.121426e-14	1.149046e-12	0	0	1.518095e+02	4.876363e+03	RAD51AP1;RAD51;RAD51C;XRCC2;XRCC3;BRCA2;PALB2;SPIDR
Reactome_2022	Resolution Of D-Loop Structures R-HSA-5693537	8/34	1.463752e-14	1.149046e-12	0	0	1.459634e+02	4.649691e+03	RAD51AP1;RAD51;RAD51C;XRCC2;XRCC3;BRCA2;PALB2;SPIDR
Reactome_2022	HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567	10/114	2.053269e-13	1.056809e-11	0	0	4.770673e+01	1.393713e+03	RNF168;RAD51AP1;RAD52;RAD51C;RAD51;XRCC2;XRCC3;BRCA2;SPIDR;PALB2
Reactome_2022	Homology Directed Repair R-HSA-5693538	10/119	3.180724e-13	1.056809e-11	0	0	4.550688e+01	1.309529e+03	RNF168;RAD51AP1;RAD52;RAD51C;RAD51;XRCC2;XRCC3;BRCA2;SPIDR;PALB2
