Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module,n_genes_in_module
Reactome_2022,MAPK1/MAPK3 Signaling R-HSA-5684996,9/277,6.267402465707229e-06,0.00028690775731904204,0,0,7.758647936786655,92.94975497687015,RET;SPRED2;SPRED1;MRAS;PIK3CA;ERBB2;NF1;FRS3;FGFR2,0,94
KEGG_2021_Human,FoxO signaling pathway,6/131,3.575603673627848e-05,0.00028803474037557666,0,0,10.789636363636363,110.47283647657122,STK11;PIK3CA;PTEN;MDM2;AKT1;KRAS,0,94
KEGG_2021_Human,Pathways in cancer,11/531,3.934029693660223e-05,0.000300228581884596,0,0,4.94082483781279,50.11607685893338,RET;CASP8;PIK3CA;CDH1;CDKN2A;ERBB2;PTEN;MDM2;AKT1;KRAS;FGFR2,0,94
KEGG_2021_Human,Apelin signaling pathway,6/137,4.597126292093385e-05,0.0003332916561767704,0,0,10.29233171408744,102.79460202065384,MRAS;RRAS;CDH1;AKT1;RRAS2;KRAS,0,94
KEGG_2021_Human,Rap1 signaling pathway,7/210,6.016567553388073e-05,0.00041542966440060494,0,0,7.809353943717796,75.89449207503608,MRAS;PIK3CA;RRAS;CDH1;AKT1;KRAS;FGFR2,0,94
Reactome_2022,PI3K/AKT Signaling In Cancer R-HSA-2219528,6/105,1.0153806854861448e-05,0.0004183368424202917,0,0,13.641184573002755,156.8417276339062,PIK3CA;ERBB2;PTEN;MDM2;AKT1;FGFR2,0,94
KEGG_2021_Human,Phospholipase D signaling pathway,6/148,7.069766226504435e-05,0.0004626616534821928,0,0,9.489756722151087,90.69453547531434,MRAS;PIK3CA;RRAS;AKT1;RRAS2;KRAS,0,94
KEGG_2021_Human,Gastric cancer,6/149,7.338771055234782e-05,0.0004626616534821928,0,0,9.422917991099808,89.70386187376356,PIK3CA;CDH1;ERBB2;AKT1;KRAS;FGFR2,0,94
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,7/219,7.832522357300514e-05,0.0004732148924202394,0,0,7.474409021904142,70.6678529929482,MAP3K1;MSX2;PIK3CA;CDKN2A;PTEN;AKT1;KRAS,0,94
Reactome_2022,MAPK Family Signaling Cascades R-HSA-5683057,9/318,1.8867904675264607e-05,0.0007066887932917289,0,0,6.715134209023415,73.04755389569956,RET;SPRED2;SPRED1;MRAS;PIK3CA;ERBB2;NF1;FRS3;FGFR2,0,94
Reactome_2022,Signaling By Receptor Tyrosine Kinases R-HSA-9006934,11/496,2.1099487667016956e-05,0.0007068096440769862,0,0,5.306943236864986,57.13594024031434,SPRED2;PTPN18;SPRED1;PIK3CA;ESRP2;ESRP1;ERBB2;AKT1;MEMO1;FRS3;FGFR2,0,94
Reactome_2022,Signaling By FGFR2 R-HSA-5654738,5/72,2.2474695546858216e-05,0.0007068096440769862,0,0,16.635083011906758,178.04729840319186,PIK3CA;ESRP2;ESRP1;FRS3;FGFR2,0,94
Reactome_2022,Regulation Of TP53 Degradation R-HSA-6804757,4/36,2.401780343950924e-05,0.0007068096440769862,0,0,27.602777777777774,293.6028857480045,RNF34;CDKN2A;MDM2;AKT1,0,94
Reactome_2022,Regulation Of TP53 Expression And Degradation R-HSA-6806003,4/37,2.6832462804489295e-05,0.0007369983116966393,0,0,26.764983164983164,281.7254855713763,RNF34;CDKN2A;MDM2;AKT1,0,94
KEGG_2021_Human,Tight junction,6/169,0.00014672352996758715,0.0008509964738120054,0,0,8.258365867261572,72.89626922668849,EPB41L4B;STK11;MAP3K1;ERBB2;ARHGEF18;NF2,0,94
Reactome_2022,Oncogenic MAPK Signaling R-HSA-6802957,5/78,3.316669777470003e-05,0.0008540424676985257,0,0,15.263198399261196,157.42408285252785,SPRED2;SPRED1;MRAS;ESRP1;NF1,0,94
Reactome_2022,RND1 GTPase Cycle R-HSA-9696273,4/42,4.466494930221725e-05,0.001082468183089,0,0,23.2374269005848,232.7535385732318,CCDC88A;WDR6;RRAS2;FRS3,0,94
KEGG_2021_Human,PI3K-Akt signaling pathway,8/354,0.00026388258189761414,0.0014716528605828,0,0,5.258771340233903,43.33230907525389,STK11;PIK3CA;ERBB2;PTEN;MDM2;AKT1;KRAS;FGFR2,0,94
KEGG_2021_Human,Mitophagy,4/68,0.0002960449844236124,0.0015898712126453,0,0,13.779166666666669,111.9557173273732,MRAS;RRAS;RRAS2;KRAS,0,94
KEGG_2021_Human,Renal cell carcinoma,4/69,0.0003131399210236169,0.001621617448158,0,0,13.566495726495727,109.4661606130364,FLCN;PIK3CA;AKT1;KRAS,0,94
Reactome_2022,Signaling By FGFR1 R-HSA-5654736,4/49,8.244963575123093e-05,0.0018871805516392,0,0,19.6158024691358,184.4537250852611,SPRED2;SPRED1;PIK3CA;FRS3,0,94
KEGG_2021_Human,p53 signaling pathway,4/73,0.0003886469341347282,0.0019432346706736,0,0,12.777455716586152,100.33930577680307,CASP8;CDKN2A;PTEN;MDM2,0,94
KEGG_2021_Human,Apoptosis,5/142,0.0005559120678122281,0.0026851256055494,0,0,8.106700565898466,60.75891353808402,CASP8;PARP1;PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,Regulation of actin cytoskeleton,6/218,0.0005740613363588526,0.0026851256055494,0,0,6.333833619210978,47.267970814637,MRAS;PIK3CA;RRAS;RRAS2;KRAS;FGFR2,0,94
KEGG_2021_Human,Breast cancer,5/147,0.0006504647904204,0.0028824350135673,0,0,7.819275201772433,57.37646045609359,PIK3CA;ERBB2;PTEN;AKT1;KRAS,0,94
KEGG_2021_Human,Human cytomegalovirus infection,6/225,0.0006774489430574362,0.0028824350135673,0,0,6.12920298879203,44.72587520970424,CASP8;PIK3CA;CDKN2A;MDM2;AKT1;KRAS,0,94
KEGG_2021_Human,ErbB signaling pathway,4/85,0.0006926227437432815,0.0028824350135673,0,0,10.877914951989029,79.1371041844022,PIK3CA;ERBB2;AKT1;KRAS,0,94
KEGG_2021_Human,Thyroid cancer,3/37,0.0006957601756886706,0.0028824350135673,0,0,19.26826115061409,140.08999929082586,RET;CDH1;KRAS,0,94
KEGG_2021_Human,PD-L1 expression and PD-1 checkpoint pathway in cancer,4/89,0.0008233616499937331,0.0033163177569192,0,0,10.36392156862745,73.60576308940142,PIK3CA;PTEN;AKT1;KRAS,0,94
KEGG_2021_Human,Hepatitis B,5/162,0.0010070525892166,0.0039465574442272,0,0,7.066843197595363,48.76635878872921,CASP8;MAP3K1;PIK3CA;AKT1;KRAS,0,94
Reactome_2022,Negative Regulation Of PI3K/AKT Network R-HSA-199418,5/113,0.0001937831396325976,0.0042020343962436,0,0,10.298585101955888,88.04024423007698,PIK3CA;ERBB2;PTEN;AKT1;FGFR2,0,94
KEGG_2021_Human,Hepatocellular carcinoma,5/168,0.0011842046542157,0.0045186756542443,0,0,6.80464603294961,45.85435871923847,PIK3CA;CDKN2A;PTEN;AKT1;KRAS,0,94
KEGG_2021_Human,Longevity regulating pathway,4/102,0.0013680668170993,0.0050864022687028,0,0,8.983219954648526,59.23855595947596,STK11;PIK3CA;AKT1;KRAS,0,94
Reactome_2022,PIP3 Activates AKT Signaling R-HSA-1257604,7/268,0.0002721118499432593,0.0056055041088311,0,0,6.056062007310521,49.71601386778704,PIK3CA;ERBB2;PTEN;MDM2;AKT1;FGFR2;FRK,0,94
Reactome_2022,Downregulation Of ERBB2 Signaling R-HSA-8863795,3/29,0.0003362141271727117,0.0062963736543253,0,0,25.207100591715975,201.60039925159745,PTPN18;ERBB2;AKT1,0,94
Reactome_2022,Downstream Signaling Of Activated FGFR2 R-HSA-5654696,3/29,0.0003362141271727117,0.0062963736543253,0,0,25.207100591715975,201.60039925159745,PIK3CA;FRS3;FGFR2,0,94
KEGG_2021_Human,Sphingolipid signaling pathway,4/119,0.0024061511751791,0.0083069504857374,0,0,7.648695652173913,46.1195453947429,PIK3CA;PTEN;AKT1;KRAS,0,94
KEGG_2021_Human,"Growth hormone synthesis, secretion and action",4/119,0.0024061511751791,0.0083069504857374,0,0,7.648695652173913,46.1195453947429,MAP3K1;PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,Neurotrophin signaling pathway,4/119,0.0024061511751791,0.0083069504857374,0,0,7.648695652173913,46.1195453947429,MAP3K1;PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,Thyroid hormone signaling pathway,4/121,0.0025559668473658,0.0086189579736757,0,0,7.51718898385565,44.87254197411019,PIK3CA;MDM2;AKT1;KRAS,0,94
KEGG_2021_Human,VEGF signaling pathway,3/59,0.0027018527359435,0.0087358535982233,0,0,11.68563579277865,69.10671795011497,PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,Viral carcinogenesis,5/203,0.0027111269787589,0.0087358535982233,0,0,5.5918737941209855,33.05015982576127,CASP8;PIK3CA;CDKN2A;MDM2;KRAS,0,94
KEGG_2021_Human,GnRH secretion,3/64,0.0034047053494091,0.0106021922970757,0,0,10.725094577553596,60.94638896058672,PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,MicroRNAs in cancer,6/310,0.0034365726756038,0.0106021922970757,0,0,4.396381578947368,24.94190640768185,PIK3CA;CDKN2A;ERBB2;PTEN;MDM2;KRAS,0,94
Reactome_2022,Intracellular Signaling By Second Messengers R-HSA-9006925,7/306,0.0006020212300387511,0.0107840324685202,0,0,5.27616960750394,39.12394703964244,PIK3CA;ERBB2;PTEN;MDM2;AKT1;FGFR2;FRK,0,94
KEGG_2021_Human,Acute myeloid leukemia,3/67,0.0038752460334452,0.0117064723926991,0,0,10.22081043956044,56.75765389386097,PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,Fc epsilon RI signaling pathway,3/68,0.0040404405499248,0.0119564057089613,0,0,10.06306001690617,55.46156453409548,PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,Prolactin signaling pathway,3/70,0.0043835481286768,0.0127122895731627,0,0,9.761686075118911,53.00494805497955,PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,Signaling pathways regulating pluripotency of stem cells,4/143,0.0046471714736661,0.0131727847786741,0,0,6.320383693045564,33.94991907354449,PIK3CA;AKT1;KRAS;FGFR2,0,94
KEGG_2021_Human,Human papillomavirus infection,6/331,0.0047240331620072,0.0131727847786741,0,0,4.107902097902098,21.99819514327368,CASP8;PIK3CA;PTEN;MDM2;AKT1;KRAS,0,94
Reactome_2022,Regulation Of TP53 Activity R-HSA-5633007,5/157,0.0008751556854224986,0.0150235059330862,0,0,7.301153163808397,51.40821350882095,STK11;RNF34;CDKN2A;MDM2;AKT1,0,94
KEGG_2021_Human,Hepatitis C,4/157,0.0064497832536405,0.0174007500032147,0,0,5.737981118373275,28.940705590288594,CASP8;PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,B cell receptor signaling pathway,3/81,0.0065837145589039,0.0174007500032147,0,0,8.380388841927303,42.096001920824406,PIK3CA;AKT1;KRAS,0,94
KEGG_2021_Human,Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,2/26,0.0066002844839779,0.0174007500032147,0,0,18.009057971014492,90.41704232490788,PIGM;PIGX,0,94
