Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Endometrial cancer	5/58	8.737335e-09	1.057218e-06	0	0	9.397170e+01	1.743707e+03	PIK3CA;CDH1;ERBB2;PIK3R3;CTNNA2
KEGG_2021_Human	Rap1 signaling pathway	6/210	1.870448e-07	1.131621e-05	0	0	3.060526e+01	4.741342e+02	CSF1R;PDGFRA;PIK3CA;CDH1;PIK3R3;TEK
KEGG_2021_Human	Gastric cancer	5/149	1.010725e-06	3.718851e-05	0	0	3.442882e+01	4.752844e+02	PIK3CA;CDH1;ERBB2;PIK3R3;CTNNA2
KEGG_2021_Human	Central carbon metabolism in cancer	4/70	1.646256e-06	3.718851e-05	0	0	5.745743e+01	7.651610e+02	PDGFRA;PIK3CA;ERBB2;PIK3R3
KEGG_2021_Human	Adherens junction	4/71	1.743074e-06	3.718851e-05	0	0	5.659701e+01	7.504685e+02	FER;CDH1;ERBB2;CTNNA2
KEGG_2021_Human	Melanoma	4/72	1.844058e-06	3.718851e-05	0	0	5.576190e+01	7.362546e+02	PDGFRA;PIK3CA;CDH1;PIK3R3
KEGG_2021_Human	Bacterial invasion of epithelial cells	4/77	2.415513e-06	4.175387e-05	0	0	5.192955e+01	6.716360e+02	PIK3CA;CDH1;PIK3R3;CTNNA2
KEGG_2021_Human	Pathways in cancer	7/531	2.835724e-06	4.289033e-05	0	0	1.443564e+01	1.843896e+02	CSF1R;PDGFRA;PIK3CA;CDH1;ERBB2;PIK3R3;CTNNA2
KEGG_2021_Human	PI3K-Akt signaling pathway	6/354	3.927653e-06	5.280512e-05	0	0	1.781034e+01	2.216937e+02	CSF1R;PDGFRA;PIK3CA;ERBB2;PIK3R3;TEK
KEGG_2021_Human	Focal adhesion	5/201	4.400215e-06	5.324261e-05	0	0	2.522832e+01	3.111624e+02	PDGFRA;PIK3CA;ERBB2;PIK3R3;PIP5K1C
KEGG_2021_Human	Prostate cancer	4/97	6.081446e-06	6.387695e-05	0	0	4.072094e+01	4.890694e+02	PDGFRA;PIK3CA;ERBB2;PIK3R3
KEGG_2021_Human	Choline metabolism in cancer	4/98	6.334904e-06	6.387695e-05	0	0	4.028571e+01	4.821973e+02	PDGFRA;PIK3CA;PIK3R3;PIP5K1C
KEGG_2021_Human	Ras signaling pathway	5/232	8.842896e-06	8.230696e-05	0	0	2.174890e+01	2.530679e+02	CSF1R;PDGFRA;PIK3CA;PIK3R3;TEK
KEGG_2021_Human	HIF-1 signaling pathway	4/109	9.666550e-06	8.354661e-05	0	0	3.604535e+01	4.162099e+02	PIK3CA;ERBB2;PIK3R3;TEK
KEGG_2021_Human	Phospholipase D signaling pathway	4/148	3.226933e-05	2.603059e-04	0	0	2.623148e+01	2.712701e+02	PDGFRA;PIK3CA;PIK3R3;PIP5K1C
KEGG_2021_Human	JAK-STAT signaling pathway	4/162	4.594461e-05	3.474561e-04	0	0	2.389030e+01	2.386180e+02	PDGFRA;PIK3CA;IL20RA;PIK3R3
KEGG_2021_Human	Acute myeloid leukemia	3/67	7.839415e-05	5.579819e-04	0	0	4.242401e+01	4.010664e+02	CSF1R;PIK3CA;PIK3R3
KEGG_2021_Human	Non-small cell lung cancer	3/72	9.719651e-05	6.533765e-04	0	0	3.933992e+01	3.634527e+02	PIK3CA;ERBB2;PIK3R3
KEGG_2021_Human	Glioma	3/75	1.097751e-04	6.908630e-04	0	0	3.769508e+01	3.436689e+02	PDGFRA;PIK3CA;PIK3R3
KEGG_2021_Human	Pancreatic cancer	3/76	1.141922e-04	6.908630e-04	0	0	3.717684e+01	3.374775e+02	PIK3CA;ERBB2;PIK3R3
KEGG_2021_Human	Regulation of actin cytoskeleton	4/218	1.451196e-04	8.361653e-04	0	0	1.758879e+01	1.554488e+02	PDGFRA;PIK3CA;PIK3R3;PIP5K1C
KEGG_2021_Human	ErbB signaling pathway	3/85	1.592520e-04	8.758861e-04	0	0	3.308149e+01	2.892983e+02	PIK3CA;ERBB2;PIK3R3
KEGG_2021_Human	Fc gamma R-mediated phagocytosis	3/97	2.353860e-04	1.186738e-03	0	0	2.884091e+01	2.409451e+02	PIK3CA;PIK3R3;PIP5K1C
KEGG_2021_Human	Phosphatidylinositol signaling system	3/97	2.353860e-04	1.186738e-03	0	0	2.884091e+01	2.409451e+02	PIK3CA;PIK3R3;PIP5K1C
KEGG_2021_Human	Leukocyte transendothelial migration	3/114	3.785580e-04	1.832221e-03	0	0	2.440295e+01	1.922743e+02	PIK3CA;PIK3R3;CTNNA2
KEGG_2021_Human	Neurotrophin signaling pathway	3/119	4.292963e-04	1.997879e-03	0	0	2.334522e+01	1.810040e+02	PIK3CA;MATK;PIK3R3
KEGG_2021_Human	MAPK signaling pathway	4/294	4.535579e-04	2.032611e-03	0	0	1.292939e+01	9.953548e+01	CSF1R;PDGFRA;ERBB2;TEK
KEGG_2021_Human	Osteoclast differentiation	3/127	5.192359e-04	2.243841e-03	0	0	2.183028e+01	1.651057e+02	CSF1R;PIK3CA;PIK3R3
KEGG_2021_Human	MicroRNAs in cancer	4/310	5.537356e-04	2.310414e-03	0	0	1.224339e+01	9.181099e+01	PDGFRA;PIK3CA;ERBB2;PIK3R3
