Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module_id,module_size
KEGG_2021_Human,Bladder cancer,2/41,0.0011938231616913,0.0043773515928683,0,0,44.45039018952063,299.1775464324702,CDH1;ERBB2,3,25
KEGG_2021_Human,Type II diabetes mellitus,2/46,0.0015010858723645,0.0053420997222385,0,0,39.38932806324111,256.0923364971402,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Carbohydrate digestion and absorption,2/47,0.0015666022234334,0.0054159676867272,0,0,38.51207729468599,248.74358384853045,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Neutrophil extracellular trap formation,3/189,0.0016389843123182,0.0055088083830697,0,0,14.508064516129032,93.05006220016983,PIK3CA;PIK3R3;MACROH2A1,3,25
KEGG_2021_Human,Proteoglycans in cancer,3/205,0.0020666975730126,0.006758659630663,0,0,13.348109810981098,82.51538955896224,PIK3CA;ERBB2;PIK3R3,3,25
KEGG_2021_Human,Regulation of lipolysis in adipocytes,2/55,0.0021389615004277,0.0068109037250463,0,0,32.68580803937654,200.93387537332225,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,VEGF signaling pathway,2/59,0.0024569633643719,0.0076228863356155,0,0,30.385964912280706,182.5840700831453,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Human cytomegalovirus infection,3/225,0.0026914650889742,0.0081416818941471,0,0,12.133292383292384,71.80081537399941,PDGFRA;PIK3CA;PIK3R3,3,25
KEGG_2021_Human,GnRH secretion,2/64,0.0028838973905792,0.0085110142502459,0,0,27.928471248246844,163.34280993179652,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Fc epsilon RI signaling pathway,2/68,0.0032487464098998,0.0093594837047115,0,0,26.23056653491436,150.2876657557229,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Renal cell carcinoma,2/69,0.0033431691568994,0.009407522511275,0,0,25.83776768332252,147.29687804184252,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Prolactin signaling pathway,2/70,0.0034388699204844,0.0094568922813321,0,0,25.456521739130437,144.40498019235108,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Inositol phosphate metabolism,2/73,0.0037336095301643,0.0100392611811085,0,0,24.377219840783837,136.27791764114787,PIK3CA;PIP5K1C,3,25
KEGG_2021_Human,Chronic myeloid leukemia,2/76,0.0040397406896228,0.0106262744227036,0,0,23.38542890716804,128.890540062766,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,B cell receptor signaling pathway,2/81,0.004575049991834,0.0117783201917429,0,0,21.899834892680243,117.97742514785251,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Colorectal cancer,2/86,0.0051413941977667,0.0129605978735371,0,0,20.591097308488614,108.5239574055768,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,PD-L1 expression and PD-1 checkpoint pathway in cancer,2/89,0.0054959408667662,0.0135716090791573,0,0,19.878060969515243,103.4403699896993,PIK3CA;PIK3R3,3,25
KEGG_2021_Human,Small cell lung cancer,2/92,0.0058614439271818,0.0141846943037799,0,0,19.21256038647343,98.7402509334194,PIK3CA;PIK3R3,3,25
