Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module_id,module_size
Reactome_2022,TRAIL Signaling R-HSA-75158,5/8,3.556928496960315e-13,8.501059107735153e-11,0,0,1279.871794871795,36687.15232465487,CASP8;CASP10;TNFSF10;TNFRSF10B;TNFRSF10D,2,31
Reactome_2022,MTOR Signaling R-HSA-165159,6/41,3.5888876557424015e-11,4.2887207486121695e-09,0,0,136.69028571428572,3287.4825263161147,STK11;CAB39;CAB39L;STRADA;STRADB;AKT1,2,31
Reactome_2022,Energy Dependent Regulation Of mTOR By LKB1-AMPK R-HSA-380972,5/29,7.374419023784432e-10,5.874953822281597e-08,0,0,159.81570512820514,3360.5780872249456,STK11;CAB39;CAB39L;STRADA;STRADB,2,31
Reactome_2022,Signal Transduction R-HSA-162582,16/2465,1.3064147297380302e-07,7.80582801018473e-06,0,0,7.630869742752144,120.9554596607296,KDM4A;CAB39;CAB39L;STRADA;STRADB;PTEN;TNFRSF10B;ETV4;TNFRSF10D;STK11;CASP8;CASP10;DLC1;TNFSF10;AKT1;PIK3C3,2,31
Reactome_2022,CASP8 Activity Is Inhibited R-HSA-5218900,3/11,5.516285798955124e-07,2.095440426699944e-05,0,0,267.33482142857144,3852.39927252742,CASP8;TNFSF10;TNFRSF10B,2,31
Reactome_2022,Dimerization Of Procaspase-8 R-HSA-69416,3/11,5.516285798955124e-07,2.095440426699944e-05,0,0,267.33482142857144,3852.39927252742,CASP8;TNFSF10;TNFRSF10B,2,31
Reactome_2022,TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008,4/44,6.137273216275986e-07,2.095440426699944e-05,0,0,73.81111111111112,1055.7731052139452,CASP10;CASP6;TNFRSF10B;TNFRSF10D,2,31
Reactome_2022,Transcriptional Regulation By TP53 R-HSA-3700989,7/354,9.355480024355576e-07,2.794949657276228e-05,0,0,16.493035542747357,228.958519253499,STK11;CASP10;CASP6;PTEN;AKT1;TNFRSF10B;TNFRSF10D,2,31
Reactome_2022,Caspase Activation Via Death Receptors In Presence Of Ligand R-HSA-140534,3/16,1.8624166634652688e-06,4.945750917424437e-05,0,0,164.47252747252747,2169.9905989699823,CASP8;TNFSF10;TNFRSF10B,2,31
Reactome_2022,Death Receptor Signaling R-HSA-73887,5/139,2.2161385488225663e-06,5.296571131685933e-05,0,0,28.4658438576349,370.6180074277425,CASP8;CASP10;TNFSF10;TNFRSF10B;TNFRSF10D,2,31
