Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Cellular Response To Chemical Stress R-HSA-9711123	2/182	2.108676e-01	2.895915e-01	0	0	2.382367e+00	3.708214e+00	CDKN2A;AKT1
Reactome_2022	Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793	1/51	2.138173e-01	2.916978e-01	0	0	4.270108e+00	6.587211e+00	PARP1
Reactome_2022	Translocation Of SLC2A4 (GLUT4) To Plasma Membrane R-HSA-1445148	1/51	2.138173e-01	2.916978e-01	0	0	4.270108e+00	6.587211e+00	AKT1
Reactome_2022	Apoptotic Execution Phase R-HSA-75153	1/52	2.175218e-01	2.931878e-01	0	0	4.186169e+00	6.385818e+00	CASP8
Reactome_2022	RHOD GTPase Cycle R-HSA-9013405	1/52	2.175218e-01	2.931878e-01	0	0	4.186169e+00	6.385818e+00	SLC4A7
Reactome_2022	Signaling By PDGF R-HSA-186797	1/52	2.175218e-01	2.931878e-01	0	0	4.186169e+00	6.385818e+00	PIK3CA
Reactome_2022	Metabolism Of Vitamins And Cofactors R-HSA-196854	2/186	2.177560e-01	2.931878e-01	0	0	2.330104e+00	3.551964e+00	AKT1;PRSS58
Reactome_2022	ESR-mediated Signaling R-HSA-8939211	2/188	2.212080e-01	2.949454e-01	0	0	2.304815e+00	3.477163e+00	PIK3CA;AKT1
Reactome_2022	Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643	1/53	2.212090e-01	2.949454e-01	0	0	4.105459e+00	6.193690e+00	CASP8
Reactome_2022	Negative Regulation Of NOTCH4 Signaling R-HSA-9604323	1/53	2.212090e-01	2.949454e-01	0	0	4.105459e+00	6.193690e+00	AKT1
Reactome_2022	RHOJ GTPase Cycle R-HSA-9013409	1/54	2.248791e-01	2.988715e-01	0	0	4.027795e+00	6.010245e+00	SLC4A7
Reactome_2022	Axon Guidance R-HSA-422475	4/519	2.276552e-01	3.015882e-01	0	0	1.673441e+00	2.476564e+00	RET;PIK3CA;RRAS;ERBB2
Reactome_2022	Amino Acids Regulate mTORC1 R-HSA-9639288	1/55	2.285320e-01	3.017794e-01	0	0	3.953007e+00	5.834951e+00	FLCN
Reactome_2022	Cytokine Signaling In Immune System R-HSA-1280215	5/702	2.346560e-01	3.074182e-01	0	0	1.548289e+00	2.244453e+00	PTPN18;CASP8;PIK3CA;AKT1;N4BP1
Reactome_2022	Regulated Necrosis R-HSA-5218859	1/57	2.357868e-01	3.074182e-01	0	0	3.811444e+00	5.506878e+00	CASP8
Reactome_2022	Signaling By ERBB4 R-HSA-1236394	1/57	2.357868e-01	3.074182e-01	0	0	3.811444e+00	5.506878e+00	PIK3CA
Reactome_2022	NRAGE Signals Death Thru JNK R-HSA-193648	1/57	2.357868e-01	3.074182e-01	0	0	3.811444e+00	5.506878e+00	ARHGEF18
Reactome_2022	Developmental Biology R-HSA-1266738	7/1073	2.398045e-01	3.116702e-01	0	0	1.422009e+00	2.030532e+00	RET;MAP4K2;PIK3CA;RRAS;ERBB2;AKT1;PI3
Reactome_2022	RHOQ GTPase Cycle R-HSA-9013406	1/59	2.429741e-01	3.147967e-01	0	0	3.679644e+00	5.205961e+00	SLC4A7
Reactome_2022	Ub-specific Processing Proteases R-HSA-5689880	2/201	2.437437e-01	3.148037e-01	0	0	2.152829e+00	3.039016e+00	PTEN;MDM2
Reactome_2022	Transcriptional Regulation By MECP2 R-HSA-8986944	1/60	2.465427e-01	3.174237e-01	0	0	3.617095e+00	5.064729e+00	PTEN
Reactome_2022	Regulation Of PTEN Gene Transcription R-HSA-8943724	1/61	2.500946e-01	3.209937e-01	0	0	3.556631e+00	4.929192e+00	PTEN
Reactome_2022	Regulation Of Actin Dynamics For Phagocytic Cup Formation R-HSA-2029482	1/62	2.536299e-01	3.230786e-01	0	0	3.498149e+00	4.799038e+00	NF2
Reactome_2022	Signaling By BRAF And RAF1 Fusions R-HSA-6802952	1/62	2.536299e-01	3.230786e-01	0	0	3.498149e+00	4.799038e+00	ESRP1
Reactome_2022	Nervous System Development R-HSA-9675108	4/545	2.540715e-01	3.230786e-01	0	0	1.590881e+00	2.179729e+00	RET;PIK3CA;RRAS;ERBB2
Reactome_2022	Cytosolic Sensors Of Pathogen-Associated DNA R-HSA-1834949	1/63	2.571488e-01	3.239917e-01	0	0	3.441554e+00	4.673976e+00	ZBP1
Reactome_2022	Signaling By MET R-HSA-6806834	1/63	2.571488e-01	3.239917e-01	0	0	3.441554e+00	4.673976e+00	PIK3CA
Reactome_2022	Synthesis Of Substrates In N-glycan Biosythesis R-HSA-446219	1/63	2.571488e-01	3.239917e-01	0	0	3.441554e+00	4.673976e+00	EGFL7
Reactome_2022	Adaptive Immune System R-HSA-1280218	5/733	2.619827e-01	3.290759e-01	0	0	1.479967e+00	1.982381e+00	WSB1;RNF34;PIK3CA;PTEN;AKT1
Reactome_2022	Glycolysis R-HSA-70171	1/69	2.779198e-01	3.480332e-01	0	0	3.136939e+00	4.016608e+00	MAP4K2
Reactome_2022	Base Excision Repair R-HSA-73884	1/72	2.880887e-01	3.585878e-01	0	0	3.003938e+00	3.738361e+00	PARP1
Reactome_2022	Regulation Of RUNX2 Expression And Activity R-HSA-8939902	1/72	2.880887e-01	3.585878e-01	0	0	3.003938e+00	3.738361e+00	MSX2
Reactome_2022	Cell Death Signaling Via NRAGE, NRIF And NADE R-HSA-204998	1/74	2.947892e-01	3.647241e-01	0	0	2.921343e+00	3.568406e+00	ARHGEF18
Reactome_2022	Formation Of Cornified Envelope R-HSA-6809371	1/74	2.947892e-01	3.647241e-01	0	0	2.921343e+00	3.568406e+00	PI3
Reactome_2022	Biosynthesis Of N-glycan Precursor (Dolichol LLO) And Transfer To Protein R-HSA-446193	1/77	3.047230e-01	3.758859e-01	0	0	2.805603e+00	3.334043e+00	EGFL7
Reactome_2022	G Alpha (12/13) Signaling Events R-HSA-416482	1/78	3.080035e-01	3.776709e-01	0	0	2.769027e+00	3.260928e+00	ARHGEF18
Reactome_2022	Nuclear Events Mediated By NFE2L2 R-HSA-9759194	1/78	3.080035e-01	3.776709e-01	0	0	2.769027e+00	3.260928e+00	CDKN2A
Reactome_2022	Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582	1/81	3.177532e-01	3.873204e-01	0	0	2.664785e+00	3.055124e+00	CDKN2A
Reactome_2022	Signaling By NOTCH4 R-HSA-9013694	1/81	3.177532e-01	3.873204e-01	0	0	2.664785e+00	3.055124e+00	AKT1
Reactome_2022	Cyclin E Associated Events During G1/S Transition R-HSA-69202	1/82	3.209727e-01	3.889434e-01	0	0	2.631754e+00	2.990722e+00	AKT1
Reactome_2022	Global Genome Nucleotide Excision Repair (GG-NER) R-HSA-5696399	1/82	3.209727e-01	3.889434e-01	0	0	2.631754e+00	2.990722e+00	PARP1
Reactome_2022	Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656	1/84	3.273669e-01	3.955283e-01	0	0	2.568079e+00	2.867706e+00	AKT1
Reactome_2022	Platelet Activation, Signaling And Aggregation R-HSA-76002	2/254	3.357303e-01	4.044470e-01	0	0	1.695480e+00	1.850526e+00	PIK3CA;AKT1
Reactome_2022	RAC2 GTPase Cycle R-HSA-9013404	1/87	3.368466e-01	4.046088e-01	0	0	2.478120e+00	2.696510e+00	PIK3CA
Reactome_2022	Regulation Of mRNA Stability By Proteins That Bind AU-rich Elements R-HSA-450531	1/88	3.399770e-01	4.061904e-01	0	0	2.449512e+00	2.642722e+00	AKT1
Reactome_2022	Antimicrobial Peptides R-HSA-6803157	1/89	3.430929e-01	4.061904e-01	0	0	2.421554e+00	2.590468e+00	PI3
Reactome_2022	RAB GEFs Exchange GTP For GDP On RABs R-HSA-8876198	1/89	3.430929e-01	4.061904e-01	0	0	2.421554e+00	2.590468e+00	AKT1
Reactome_2022	Sphingolipid Metabolism R-HSA-428157	1/89	3.430929e-01	4.061904e-01	0	0	2.421554e+00	2.590468e+00	EGFL7
Reactome_2022	Glucose Metabolism R-HSA-70326	1/89	3.430929e-01	4.061904e-01	0	0	2.421554e+00	2.590468e+00	MAP4K2
Reactome_2022	Signaling By Nuclear Receptors R-HSA-9006931	2/260	3.460070e-01	4.084668e-01	0	0	1.655544e+00	1.757023e+00	PIK3CA;AKT1
Reactome_2022	Cell Cycle Checkpoints R-HSA-69620	2/271	3.647134e-01	4.293197e-01	0	0	1.586957e+00	1.600673e+00	CDKN2A;MDM2
Reactome_2022	Potential Therapeutics For SARS R-HSA-9679191	1/97	3.675010e-01	4.313688e-01	0	0	2.218862e+00	2.221145e+00	ZBP1
Reactome_2022	CLEC7A (Dectin-1) Signaling R-HSA-5607764	1/99	3.734615e-01	4.358815e-01	0	0	2.173360e+00	2.140629e+00	CASP8
Reactome_2022	SLC Transporter Disorders R-HSA-5619102	1/99	3.734615e-01	4.358815e-01	0	0	2.173360e+00	2.140629e+00	MAP4K2
Reactome_2022	Deubiquitination R-HSA-5688426	2/279	3.781941e-01	4.401581e-01	0	0	1.540496e+00	1.497898e+00	PTEN;MDM2
Reactome_2022	Transport Of Inorganic Cations/Anions And Amino Acids/Oligopeptides R-HSA-425393	1/104	3.881208e-01	4.504387e-01	0	0	2.067335e+00	1.956606e+00	SLC4A7
Reactome_2022	Integration Of Energy Metabolism R-HSA-163685	1/105	3.910116e-01	4.525191e-01	0	0	2.047353e+00	1.922502e+00	STK11
Reactome_2022	Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807	1/107	3.967529e-01	4.578772e-01	0	0	2.008521e+00	1.856761e+00	AKT1
Reactome_2022	Extracellular Matrix Organization R-HSA-1474244	2/291	3.981937e-01	4.582565e-01	0	0	1.475628e+00	1.358783e+00	PRSS58;KLK7
Reactome_2022	Nucleotide Excision Repair R-HSA-5696398	1/108	3.996034e-01	4.585977e-01	0	0	1.989649e+00	1.825071e+00	PARP1
Reactome_2022	Signaling By NTRK1 (TRKA) R-HSA-187037	1/114	4.164287e-01	4.765795e-01	0	0	1.883433e+00	1.649963e+00	PIK3CA
Reactome_2022	Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168	2/307	4.243971e-01	4.843535e-01	0	0	1.397078e+00	1.197415e+00	WSB1;RNF34
Reactome_2022	Homology Directed Repair R-HSA-5693538	1/119	4.300928e-01	4.894979e-01	0	0	1.803171e+00	1.521433e+00	PARP1
