Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	p53 signaling pathway	5/73	1.444096e-07	7.653707e-06	0	0	5.045132e+01	7.946392e+02	TP53AIP1;TP53I3;ZMAT3;PPM1D;TP53
KEGG_2021_Human	Cellular senescence	3/156	2.332732e-03	6.181741e-02	0	0	1.253194e+01	7.595253e+01	HIPK4;HIPK1;TP53
KEGG_2021_Human	Apoptosis	2/142	2.420897e-02	3.778460e-01	0	0	8.850893e+00	3.293446e+01	TP53AIP1;TP53
KEGG_2021_Human	Thyroid cancer	1/37	6.106594e-02	3.778460e-01	0	0	1.677609e+01	4.690262e+01	TP53
KEGG_2021_Human	Bladder cancer	1/41	6.744666e-02	3.778460e-01	0	0	1.509545e+01	4.070366e+01	TP53
KEGG_2021_Human	Ferroptosis	1/41	6.744666e-02	3.778460e-01	0	0	1.509545e+01	4.070366e+01	TP53
KEGG_2021_Human	Endometrial cancer	1/58	9.409839e-02	3.778460e-01	0	0	1.058426e+01	2.501500e+01	TP53
KEGG_2021_Human	Basal cell carcinoma	1/63	1.017954e-01	3.778460e-01	0	0	9.728250e+00	2.222701e+01	TP53
KEGG_2021_Human	Mitophagy	1/68	1.094290e-01	3.778460e-01	0	0	9.000000e+00	1.991232e+01	TP53
KEGG_2021_Human	Central carbon metabolism in cancer	1/70	1.124647e-01	3.778460e-01	0	0	8.738252e+00	1.909409e+01	TP53
KEGG_2021_Human	Melanoma	1/72	1.154904e-01	3.778460e-01	0	0	8.491251e+00	1.832894e+01	TP53
KEGG_2021_Human	Non-small cell lung cancer	1/72	1.154904e-01	3.778460e-01	0	0	8.491251e+00	1.832894e+01	TP53
KEGG_2021_Human	Glioma	1/75	1.200102e-01	3.778460e-01	0	0	8.145782e+00	1.727051e+01	TP53
KEGG_2021_Human	Chronic myeloid leukemia	1/76	1.215118e-01	3.778460e-01	0	0	8.036768e+00	1.693945e+01	TP53
KEGG_2021_Human	Pancreatic cancer	1/76	1.215118e-01	3.778460e-01	0	0	8.036768e+00	1.693945e+01	TP53
KEGG_2021_Human	Colorectal cancer	1/86	1.363918e-01	3.778460e-01	0	0	7.087701e+00	1.412028e+01	TP53
KEGG_2021_Human	Small cell lung cancer	1/92	1.452021e-01	3.778460e-01	0	0	6.618382e+00	1.277102e+01	TP53
