Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Base excision repair	3/33	9.182227e-06	4.040180e-04	0	0	9.065909e+01	1.051486e+03	MBD4;NTHL1;XRCC1
KEGG_2021_Human	Mismatch repair	2/23	3.734470e-04	8.215834e-03	0	0	8.262526e+01	6.521392e+02	MLH1;MLH3
KEGG_2021_Human	Bladder cancer	2/41	1.193823e-03	1.750941e-02	0	0	4.445039e+01	2.991775e+02	RASSF1;CDK4
KEGG_2021_Human	Non-small cell lung cancer	2/72	3.634093e-03	3.285576e-02	0	0	2.472671e+01	1.388997e+02	RASSF1;CDK4
KEGG_2021_Human	p53 signaling pathway	2/73	3.733610e-03	3.285576e-02	0	0	2.437722e+01	1.362779e+02	CDK4;ATM
KEGG_2021_Human	Cell cycle	2/124	1.042104e-02	7.642093e-02	0	0	1.415039e+01	6.458138e+01	CDK4;ATM
KEGG_2021_Human	Cellular senescence	2/156	1.612389e-02	8.873343e-02	0	0	1.119198e+01	4.619438e+01	CDK4;ATM
KEGG_2021_Human	Non-homologous end-joining	1/13	1.613335e-02	8.873343e-02	0	0	6.931597e+01	2.860578e+02	LIG4
KEGG_2021_Human	Pathways in cancer	3/531	2.774298e-02	1.335422e-01	0	0	5.022469e+00	1.800441e+01	RASSF1;CDK4;MLH1
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	2/219	3.035051e-02	1.335422e-01	0	0	7.917451e+00	2.767103e+01	CDK4;ATM
KEGG_2021_Human	Homologous recombination	1/41	5.003790e-02	2.001516e-01	0	0	2.076562e+01	6.219252e+01	ATM
KEGG_2021_Human	MicroRNAs in cancer	2/310	5.685479e-02	2.055282e-01	0	0	5.552513e+00	1.592047e+01	RASSF1;ATM
KEGG_2021_Human	Human papillomavirus infection	2/331	6.381661e-02	2.055282e-01	0	0	5.192547e+00	1.428855e+01	CDK4;ATM
KEGG_2021_Human	Fanconi anemia pathway	1/54	6.539532e-02	2.055282e-01	0	0	1.566195e+01	4.271491e+01	MLH1
KEGG_2021_Human	Endometrial cancer	1/58	7.007254e-02	2.055461e-01	0	0	1.455994e+01	3.870359e+01	MLH1
KEGG_2021_Human	Melanoma	1/72	8.626647e-02	2.103741e-01	0	0	1.168075e+01	2.862151e+01	CDK4
KEGG_2021_Human	Glioma	1/75	8.970121e-02	2.103741e-01	0	0	1.120552e+01	2.701954e+01	CDK4
KEGG_2021_Human	Pancreatic cancer	1/76	9.084336e-02	2.103741e-01	0	0	1.105556e+01	2.651806e+01	CDK4
KEGG_2021_Human	Chronic myeloid leukemia	1/76	9.084336e-02	2.103741e-01	0	0	1.105556e+01	2.651806e+01	CDK4
