Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	mTOR signaling pathway	7/154	3.150619e-09	3.875261e-07	0	0	3.932937e+01	7.698986e+02	STK11;CAB39;CAB39L;STRADA;STRADB;PTEN;AKT1
KEGG_2021_Human	AMPK signaling pathway	6/120	2.678697e-08	1.647399e-06	0	0	4.180000e+01	7.287976e+02	STK11;CAB39;CAB39L;STRADA;STRADB;AKT1
KEGG_2021_Human	Apoptosis	6/142	7.327507e-08	3.004278e-06	0	0	3.499941e+01	5.750069e+02	CASP8;CASP10;CASP6;TNFSF10;AKT1;TNFRSF10B
KEGG_2021_Human	Lipid and atherosclerosis	6/215	8.465885e-07	2.603260e-05	0	0	2.269091e+01	3.172655e+02	PYCARD;CASP8;CASP6;TNFSF10;AKT1;TNFRSF10B
KEGG_2021_Human	Salmonella infection	6/249	1.988560e-06	4.891857e-05	0	0	1.948247e+01	2.557678e+02	PYCARD;CASP8;TNFSF10;AKT1;TNFRSF10B;PIK3C3
KEGG_2021_Human	Influenza A	5/172	6.291009e-06	1.289657e-04	0	0	2.280286e+01	2.730959e+02	PYCARD;CASP8;TNFSF10;AKT1;TNFRSF10B
KEGG_2021_Human	FoxO signaling pathway	4/131	4.822082e-05	8.473087e-04	0	0	2.314611e+01	2.300658e+02	STK11;PTEN;TNFSF10;AKT1
KEGG_2021_Human	Autophagy	4/137	5.742544e-05	8.829162e-04	0	0	2.209524e+01	2.157605e+02	STK11;PTEN;AKT1;PIK3C3
KEGG_2021_Human	Necroptosis	4/159	1.023687e-04	1.399039e-03	0	0	1.893811e+01	1.739831e+02	PYCARD;CASP8;TNFSF10;TNFRSF10B
KEGG_2021_Human	Tuberculosis	4/180	1.651049e-04	2.030791e-03	0	0	1.666077e+01	1.450975e+02	CASP8;CASP10;AKT1;PIK3C3
KEGG_2021_Human	p53 signaling pathway	3/73	1.948474e-04	2.178748e-03	0	0	3.045765e+01	2.602087e+02	CASP8;PTEN;TNFRSF10B
KEGG_2021_Human	Pathogenic Escherichia coli infection	4/197	2.332538e-04	2.390852e-03	0	0	1.518020e+01	1.269578e+02	PYCARD;CASP8;TNFSF10;TNFRSF10B
KEGG_2021_Human	Viral protein interaction with cytokine and cytokine receptor	3/100	4.924437e-04	4.659275e-03	0	0	2.194993e+01	1.671735e+02	TNFSF10;TNFRSF10B;TNFRSF10D
KEGG_2021_Human	C-type lectin receptor signaling pathway	3/104	5.522640e-04	4.852034e-03	0	0	2.107638e+01	1.581041e+02	PYCARD;CASP8;AKT1
KEGG_2021_Human	TNF signaling pathway	3/112	6.854438e-04	5.620639e-03	0	0	1.952163e+01	1.422237e+02	CASP8;CASP10;AKT1
KEGG_2021_Human	Hepatitis B	3/162	1.985104e-03	1.505853e-02	0	0	1.334906e+01	8.305895e+01	CASP8;CASP10;AKT1
KEGG_2021_Human	PI3K-Akt signaling pathway	4/354	2.081260e-03	1.505853e-02	0	0	8.304339e+00	5.127748e+01	STK11;TCL1A;PTEN;AKT1
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	3/193	3.259490e-03	2.227318e-02	0	0	1.115357e+01	6.386741e+01	CASP8;AKT1;PIK3C3
KEGG_2021_Human	Legionellosis	2/57	3.519003e-03	2.239323e-02	0	0	2.497053e+01	1.410730e+02	PYCARD;CASP8
