Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module,n_genes_in_module
KEGG_2021_Human,Homologous recombination,17/41,9.782999578209526e-31,1.9565999156419048e-29,0,0,210.3009950248756,14531.691868730812,BARD1;TOP3B;ABRAXAS1;XRCC2;XRCC3;BRCA2;PALB2;RAD54B;RAD51B;BRIP1;RAD51D;RAD51;RAD51C;EME1;UIMC1;RAD54L;NBN,1,84
KEGG_2021_Human,Fanconi anemia pathway,18/54,2.0217760279381123e-30,2.0217760279381127e-29,0,0,150.6060606060606,10297.474997619409,TOP3B;FANCM;FANCL;FANCA;FANCC;FANCB;BRCA2;FANCE;PALB2;FANCG;FANCF;BRIP1;RAD51C;SLX4;RAD51;EME1;FANCD2;PMS2,1,84
KEGG_2021_Human,Mismatch repair,3/23,0.00011911360933626354,0.0007940907289084236,0,0,36.84444444444444,332.9055025674288,MSH6;MSH2;PMS2,1,84
KEGG_2021_Human,Cellular senescence,4/156,0.0042370648386837,0.0211853241934187,0,0,6.501315789473685,35.522438600867865,CHEK2;RAD1;NBN;RAD9A,1,84
