nodeA	nodeB	weight	sources
CBY2	MLH1	0.79	IntAct
CCDC33	MLH1	1.0	BioGRID+IntAct
CCDC33	RAD51D	0.56	IntAct
CDCA7L	MLH1	1.0	BioGRID
CDH1	CDH3	1.0	BioGRID
CDH1	CTNNA2	1.0	BioGRID
CDH1	NUDT5	1.0	BioGRID
CDH1	PIP5K1C	1.0	BioGRID
CDH1	PKP4	1.0	BioGRID
CDH1	TNS3	0.5	IntAct
CDKL5	MLH1	1.0	BioGRID
CELA2B	NBN	0.53	IntAct
CEP57L1	RAD51D	0.56	IntAct
COX5B	FANCM	1.0	BioGRID
CSF1R	PIK3CA	1.0	BioGRID
CSTF1	CSTF2	1.0	BioGRID
DIRAS1	IL20RA	0.53	IntAct
DKKL1	RAD51C	0.53	IntAct
DLC1	PTEN	1.0	BioGRID
DLC1	TNS3	0.4	IntAct
DMC1	RAD51	1.0	BioGRID+IntAct
DMC1	RAD51AP1	1.0	BioGRID+IntAct
EFHC2	RAD51D	0.56	IntAct
EFNB3	RAD51C	0.53	IntAct
EME1	FANCM	0.4	IntAct
ENPP1	FANCE	0.53	IntAct
ERBB2	ERRFI1	1.0	BioGRID
ERBB2	FER	1.0	BioGRID
ERBB2	MACROH2A1	0.56	IntAct
ERBB2	MATK	1.0	BioGRID
ERBB2	PDGFRA	1.0	BioGRID
ERBB2	PIK3R3	1.0	BioGRID
ERBB2	SLC39A7	1.0	BioGRID
ERBB2	TEK	1.0	BioGRID
ERBB2	TNS3	1.0	BioGRID
ERCC5	NTHL1	1.0	BioGRID
ERCC5	RAD51	1.0	BioGRID
ETV4	STK11	1.0	BioGRID
FAAP24	FANCM	0.81	IntAct
FAM111A	TP53	0.4	IntAct
FAM171B	FGFR2	0.53	IntAct
FAM174A	RAD51C	0.53	IntAct
FAM174A	SLC39A7	1.0	BioGRID
FAM174A	TMEM168	0.53	IntAct
FANCA	FANCB	1.0	BioGRID+IntAct
FANCA	FANCD2	1.0	BioGRID
FANCA	FANCE	1.0	BioGRID
FANCA	FANCG	1.0	BioGRID+IntAct
FANCA	FANCL	1.0	BioGRID+IntAct
FANCA	FANCM	1.0	BioGRID+IntAct
FANCA	RMI1	1.0	BioGRID
FANCA	TOP3A	1.0	BioGRID
FANCB	FANCG	1.0	BioGRID
FANCB	FANCL	1.0	BioGRID
FANCB	FANCM	1.0	BioGRID+IntAct
FANCD2	FANCE	1.0	BioGRID
FANCD2	FANCG	1.0	BioGRID
FANCD2	FANCL	1.0	BioGRID
FANCD2	FANCM	1.0	BioGRID
FANCD2	MLH1	1.0	BioGRID
FANCD2	NBN	1.0	BioGRID
FANCD2	RAD18	1.0	BioGRID
FANCD2	RAD50	1.0	BioGRID
FANCD2	RAD51	1.0	BioGRID
FANCD2	RBBP8	1.0	BioGRID
FANCD2	TOP3A	1.0	BioGRID
FANCE	FANCG	1.0	BioGRID
FANCE	FANCM	1.0	BioGRID
FANCG	FANCL	1.0	BioGRID
FANCG	FANCM	1.0	BioGRID
FANCG	XRCC3	1.0	BioGRID
FANCL	FANCM	1.0	BioGRID
