gene_symbol
BRCA1
BRCA2
TP53
PALB2
CHEK2
ATM
PTEN
CDH1
STK11
RAD51
RAD51C
RAD51D
BRIP1
BARD1
NBN
NF1
PIK3CA
AKT1
ERBB2
FGFR2
MAP3K1
CASP8
XRCC2
FANCM
MLH1
